datetime,mav_roll,mav_pitch,mav_tilt,mav_acc_x,mav_acc_y,mav_acc_z,sonic_wind_dir,sonic_wind
2020-03-26 18:40:13+00:00,3.622218827,4.421940061,5.934555887,0.082169049,-0.055978594,-0.055978594,134.8314422,5.966641543
2020-03-26 18:40:14+00:00,2.922112641,4.720164717,7.477502756,0.074376572,-0.059146796,-0.059146796,132.8195329,5.826945357
2020-03-26 18:40:15+00:00,3.624269469,4.702460941,6.457608265,0.086331908,-0.065510566,-0.065510566,126.1139828,5.569668593
2020-03-26 18:40:16+00:00,4.836568486,5.709480657,3.807601348,0.094268228,-0.073617712,-0.073617712,124.4023022,5.445943192
2020-03-26 18:40:17+00:00,3.562311169,5.389629389,5.329536916,0.088369811,-0.058666451,-0.058666451,122.4290527,5.573164342
2020-03-26 18:40:18+00:00,2.670919334,2.714656071,5.218143206,0.045694154,-0.068097056,-0.068097056,124.0748554,5.464192564
2020-03-26 18:40:19+00:00,4.853898878,2.203463485,7.424502564,0.043326156,-0.067461072,-0.067461072,124.8604543,5.366639784
2020-03-26 18:40:20+00:00,4.228053815,3.060979608,7.115924348,0.063914827,-0.077212416,-0.077212416,130.6698608,5.21302941
2020-03-26 18:40:21+00:00,5.167338123,5.33846511,6.597303699,0.084089731,-0.088144635,-0.088144635,126.3016759,4.96378309
2020-03-26 18:40:22+00:00,4.885547541,5.180048608,6.504569552,0.086559649,-0.081170676,-0.081170676,124.6083185,4.874437514
2020-03-26 18:40:23+00:00,4.377167591,4.940886054,6.160968906,0.085073592,-0.081021449,-0.081021449,126.7743327,4.897841531
2020-03-26 18:40:24+00:00,4.255312651,4.924059091,5.92493048,0.085876714,-0.069064981,-0.069064981,124.5202387,4.981268328
2020-03-26 18:40:25+00:00,3.657895864,4.96092714,6.072083464,0.079284515,-0.068569151,-0.068569151,123.3535323,5.201493385
2020-03-26 18:40:26+00:00,3.93925019,4.42922594,5.937502441,0.076227058,-0.070580798,-0.070580798,126.3684626,5.285496095
2020-03-26 18:40:27+00:00,4.578375553,3.992822668,6.117001507,0.068902216,-0.076638661,-0.076638661,122.867387,5.431535326
2020-03-26 18:40:28+00:00,4.427799687,3.959767858,6.500008227,0.07212076,-0.074336084,-0.074336084,120.7647168,5.287120638
2020-03-26 18:40:29+00:00,4.055855438,4.582886882,6.653071708,0.073387307,-0.076977387,-0.076977387,123.6352528,5.245007857
2020-03-26 18:40:30+00:00,4.851719248,4.330796108,6.4911731,0.076673209,-0.082603546,-0.082603546,125.243816,5.33753688
2020-03-26 18:40:31+00:00,4.896448871,4.509734663,6.573330699,0.07635231,-0.082284452,-0.082284452,120.7919349,5.203535199
2020-03-26 18:40:32+00:00,4.705278577,4.47669217,6.360578355,0.076915959,-0.082359846,-0.082359846,122.303569,5.279961317
2020-03-26 18:40:33+00:00,4.864413087,4.426429641,6.631140964,0.073998332,-0.084168906,-0.084168906,121.6277085,5.039856376
2020-03-26 18:40:34+00:00,4.607957329,4.389220486,6.62887975,0.077596328,-0.080030691,-0.080030691,124.1528288,5.272650342
2020-03-26 18:40:35+00:00,4.56132641,4.818238313,6.545310015,0.081437985,-0.079844913,-0.079844913,119.9838656,5.358045471
2020-03-26 18:40:36+00:00,4.570183777,4.806715191,6.580033541,0.081482717,-0.078526411,-0.078526411,121.1085012,5.142706252
2020-03-26 18:40:37+00:00,4.82205739,4.431167471,6.232168167,0.074353495,-0.086403906,-0.086403906,121.95126,4.87586167
2020-03-26 18:40:38+00:00,5.29608914,3.910482223,6.073472078,0.072336503,-0.086737096,-0.086737096,117.7866995,4.932965525
2020-03-26 18:40:39+00:00,4.459343536,4.358044857,6.054076245,0.07286273,-0.076546235,-0.076546235,122.6619256,4.880857696
2020-03-26 18:40:40+00:00,4.378473089,4.213147983,6.559631826,0.06817127,-0.082289291,-0.082289291,114.4771178,4.727581607
2020-03-26 18:40:41+00:00,5.130279544,3.218660898,5.898491215,0.065768954,-0.087452505,-0.087452505,128.2968176,4.491794879
2020-03-26 18:40:42+00:00,5.041255384,4.202395317,6.389154738,0.071065201,-0.082893453,-0.082893453,125.0549795,4.607910368
2020-03-26 18:40:43+00:00,3.725341427,4.576413873,6.097372686,0.082956156,-0.06312601,-0.06312601,122.4550748,5.247637542
2020-03-26 18:40:44+00:00,3.40714329,5.408065828,6.26509599,0.087439916,-0.061792304,-0.061792304,123.6727712,4.371731628
2020-03-26 18:40:45+00:00,3.387746291,5.072586826,6.521704126,0.085881875,-0.063177311,-0.063177311,133.7311319,4.306059724
2020-03-26 18:40:46+00:00,3.827659295,4.963580632,5.986965581,0.092421107,-0.064940453,-0.064940453,131.5665626,4.497372127
2020-03-26 18:40:47+00:00,3.791236139,5.310399833,5.967309082,0.086710801,-0.066002482,-0.066002482,140.0604635,4.414363208
2020-03-26 18:40:48+00:00,3.974110333,4.481342751,6.174063288,0.080325118,-0.068583079,-0.068583079,119.898074,4.743400799
2020-03-26 18:40:49+00:00,3.685863939,4.696129154,5.779360539,0.08212581,-0.060953531,-0.060953531,125.6566348,5.022457462
2020-03-26 18:40:50+00:00,3.39673569,5.158725213,5.871095455,0.085694212,-0.060324837,-0.060324837,132.2813605,4.664636181
2020-03-26 18:40:51+00:00,3.495604224,4.605224291,5.746883627,0.075059418,-0.065732397,-0.065732397,129.4435594,3.910954642
2020-03-26 18:40:52+00:00,3.943746771,4.352765285,5.504382965,0.082762404,-0.063685883,-0.063685883,123.9309367,4.253630088
2020-03-26 18:40:53+00:00,4.552627888,3.510870147,5.51534865,0.061265404,-0.074870352,-0.074870352,125.9305189,4.523115961
2020-03-26 18:40:54+00:00,3.744398988,4.037440879,6.164408143,0.061891423,-0.068007532,-0.068007532,126.490016,4.49520953
2020-03-26 18:40:55+00:00,4.722476763,2.852318131,6.010574092,0.060028542,-0.082183486,-0.082183486,126.240092,4.654010665
2020-03-26 18:40:56+00:00,5.038764626,3.555755694,5.761657008,0.059208691,-0.083341345,-0.083341345,125.8541933,4.466621784
2020-03-26 18:40:57+00:00,4.753592718,3.682593669,5.606045073,0.061504166,-0.08335035,-0.08335035,127.3082422,4.678506437
2020-03-26 18:40:58+00:00,4.310299926,3.826963962,5.97611904,0.067719384,-0.075160532,-0.075160532,132.277248,4.271373278
2020-03-26 18:40:59+00:00,4.207677101,3.707819476,5.945390419,0.065770675,-0.077451359,-0.077451359,128.7414377,4.369719228
2020-03-26 18:41:00+00:00,4.493195301,3.944250153,6.103847755,0.068262649,-0.07073552,-0.07073552,123.9821123,4.406083739
